station_excluded,near,near_treated,near_pct,near_treated_pct
三島,0.4593114523761276,0.4979139654248993,58.29836500329264,64.52855658701601
三河安城,0.47419045547813976,0.4831841316245575,60.67129651749441,62.12283969488372
京都,0.45055335194361706,0.6225023173769368,56.91802542378224,86.35854945701152
名古屋,0.45053624612437626,0.3011228006704647,56.915341235361396,35.137528113963334
品川,0.450537509995585,0.6458424257274814,56.91553955626873,90.7593358293076
小田原,0.4697265561827521,0.4875345941508929,59.95567445091405,62.829685471827524
岐阜羽島,0.4693520951713228,0.4879284900537333,59.89578850045187,62.893836051291444
掛川,0.4780070315804706,0.47928286991384417,61.285682427629816,61.491588207208146
新大阪,0.4505707555178846,0.5211049129785252,56.92075638205576,68.38871709947034
新富士,0.479031761317841,0.47818755854569933,61.45104137226956,61.31480147072048
新横浜,0.45056209257693497,0.5733858189111953,56.919396992697614,77.42642304083273
東京,0.4505009149475682,0.3063985169610217,56.909797329633264,35.852359337864684
浜松,0.3547808425421043,0.6024140508122747,42.5868130402008,82.65228013629707
熱海,0.4462476013156185,0.5110556633599967,56.24382804177588,66.70501100919041
米原,0.45591739619879085,0.5013904176600945,57.76200219732943,65.10152763148666
豊橋,0.4671792423808069,0.49009738469681813,59.54873567411272,63.247519031608526
静岡,0.38529294594625946,0.5718673979148533,47.00449020645201,77.15721946868281
